French,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,that
un,a
il,he
et,and
a,has
ne,not
les,them
ce,this
en,in
on,we
une,a
ai,have
pour,to
moi,me
qui,who
nous,we
mais,but
dans,in
du,from
bien,Well
elle,she
si,if
tout,everything
plus,more
non,Nope
mon,my
suis,am
te,you
au,to
avec,with
va,goes
oui,yes
toi,you
fait,do
ils,they
comme,as
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
rien,nothing
dit,said
votre,your
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,go
dire,say
alors,then
avez,have
bon,Well
ou,Where
ont,have
jamais,never
aussi,Also
voir,see
chose,thing
allez,go
tous,all
ces,these
faut,should
sa,her
ta,your
fais,do
peut,can
autre,other
encore,again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,always
vie,life
sans,without
juste,just
avait,had
accord,deal
vu,seen
monde,world
quelque,some
fois,time
aller,go
trop,too
viens,come
crois,believe
dieu,god
dois,must
homme,male
leur,their
avant,before
besoin,need
femme,women
aime,love
personne,person
avais,had
ans,year
mal,wrong
ses,his
vos,your
mort,dead
veut,wants
bonne,good
parce,by
mieux,better
petit,small
tes,your
ca,that
dis,say
beaucoup,many
depuis,since
doit,must
vois,see
vas,go
monsieur,sir
quel,what
fille,daughter
gens,people
donc,So
jour,day
soir,evening
autres,others
toute,all
bonjour,hello
maison,home
nom,name
argent,money
nos,our
ouais,yeah
pense,thought
merde,shit
nuit,night
papa,dad
cela,that
salut,Hi
cet,this
avons,have
reste,rest
maman,mom
peur,fear
arrive,arrived
seul,Alone
vite,quickly
prendre,take
